date,vehicle_category,maker,electric_vehicles_sold
01-Apr-21,2-Wheelers,OLA ELECTRIC,0
01-Apr-22,2-Wheelers,OKAYA EV,0
01-May-21,2-Wheelers,OLA ELECTRIC,0
01-Jun-21,2-Wheelers,OLA ELECTRIC,0
01-Jul-21,2-Wheelers,OLA ELECTRIC,0
01-Aug-21,2-Wheelers,OLA ELECTRIC,0
01-Sep-21,2-Wheelers,OLA ELECTRIC,0
01-Oct-21,2-Wheelers,OLA ELECTRIC,0
01-Nov-21,2-Wheelers,OLA ELECTRIC,0
01-Apr-21,4-Wheelers,BYD India,0
01-Apr-21,4-Wheelers,PCA Automobiles,0
01-Apr-21,4-Wheelers,BMW India,0
01-Apr-21,4-Wheelers,Volvo Auto India,0
01-Apr-21,4-Wheelers,KIA Motors,0
01-Apr-22,4-Wheelers,PCA Automobiles,0
01-Apr-22,4-Wheelers,Volvo Auto India,0
01-Apr-22,4-Wheelers,KIA Motors,0
01-May-21,4-Wheelers,BYD India,0
01-May-21,4-Wheelers,PCA Automobiles,0
01-May-21,4-Wheelers,BMW India,0
01-May-21,4-Wheelers,Mercedes -Benz AG,0
01-May-21,4-Wheelers,Volvo Auto India,0
01-May-21,4-Wheelers,KIA Motors,0
01-May-22,4-Wheelers,PCA Automobiles,0
01-May-22,4-Wheelers,Volvo Auto India,0
01-May-22,4-Wheelers,KIA Motors,0
01-Jun-21,4-Wheelers,BYD India,0
01-Jun-21,4-Wheelers,PCA Automobiles,0
01-Jun-21,4-Wheelers,BMW India,0
01-Jun-21,4-Wheelers,Volvo Auto India,0
01-Jun-21,4-Wheelers,KIA Motors,0
01-Jun-22,4-Wheelers,PCA Automobiles,0
01-Jun-22,4-Wheelers,Volvo Auto India,0
01-Jun-22,4-Wheelers,KIA Motors,0
01-Jul-21,4-Wheelers,BYD India,0
01-Jul-21,4-Wheelers,PCA Automobiles,0
01-Jul-21,4-Wheelers,BMW India,0
01-Jul-21,4-Wheelers,Volvo Auto India,0
01-Jul-21,4-Wheelers,KIA Motors,0
01-Jul-22,4-Wheelers,PCA Automobiles,0
01-Jul-22,4-Wheelers,Volvo Auto India,0
01-Jul-22,4-Wheelers,KIA Motors,0
01-Aug-21,4-Wheelers,BYD India,0
01-Aug-21,4-Wheelers,PCA Automobiles,0
01-Aug-21,4-Wheelers,BMW India,0
01-Aug-21,4-Wheelers,Volvo Auto India,0
01-Aug-21,4-Wheelers,KIA Motors,0
01-Aug-22,4-Wheelers,PCA Automobiles,0
01-Aug-22,4-Wheelers,Volvo Auto India,0
01-Aug-22,4-Wheelers,KIA Motors,0
01-Sep-21,4-Wheelers,BYD India,0
01-Sep-21,4-Wheelers,PCA Automobiles,0
01-Sep-21,4-Wheelers,BMW India,0
01-Sep-21,4-Wheelers,Volvo Auto India,0
01-Sep-21,4-Wheelers,KIA Motors,0
01-Sep-22,4-Wheelers,PCA Automobiles,0
01-Sep-22,4-Wheelers,Volvo Auto India,0
01-Sep-22,4-Wheelers,KIA Motors,0
01-Oct-21,4-Wheelers,BYD India,0
01-Oct-21,4-Wheelers,PCA Automobiles,0
01-Oct-21,4-Wheelers,BMW India,0
01-Oct-21,4-Wheelers,Volvo Auto India,0
01-Oct-21,4-Wheelers,KIA Motors,0
01-Oct-22,4-Wheelers,PCA Automobiles,0
01-Oct-22,4-Wheelers,Volvo Auto India,0
01-Nov-21,4-Wheelers,BYD India,0
01-Nov-21,4-Wheelers,PCA Automobiles,0
01-Nov-21,4-Wheelers,BMW India,0
01-Nov-21,4-Wheelers,Volvo Auto India,0
01-Nov-21,4-Wheelers,KIA Motors,0
01-Nov-22,4-Wheelers,PCA Automobiles,0
01-Dec-21,4-Wheelers,PCA Automobiles,0
01-Dec-21,4-Wheelers,BMW India,0
01-Dec-21,4-Wheelers,Volvo Auto India,0
01-Dec-21,4-Wheelers,KIA Motors,0
01-Dec-22,4-Wheelers,PCA Automobiles,0
01-Jan-22,4-Wheelers,PCA Automobiles,0
01-Jan-22,4-Wheelers,BMW India,0
01-Jan-22,4-Wheelers,Volvo Auto India,0
01-Jan-22,4-Wheelers,KIA Motors,0
01-Jan-23,4-Wheelers,PCA Automobiles,0
01-Feb-22,4-Wheelers,PCA Automobiles,0
01-Feb-22,4-Wheelers,BMW India,0
01-Feb-22,4-Wheelers,Volvo Auto India,0
01-Feb-22,4-Wheelers,KIA Motors,0
01-Feb-23,4-Wheelers,PCA Automobiles,0
01-Mar-22,4-Wheelers,PCA Automobiles,0
01-Mar-22,4-Wheelers,KIA Motors,0
01-Apr-21,4-Wheelers,Tata Motors,322
01-Apr-21,4-Wheelers,MG Motor,118
01-Apr-21,4-Wheelers,Mahindra & Mahindra,171
01-Apr-21,4-Wheelers,Hyundai Motor,12
01-Apr-21,4-Wheelers,Mercedes -Benz AG,3
01-Apr-22,4-Wheelers,Tata Motors,1409
01-Apr-22,4-Wheelers,MG Motor,177
01-Apr-22,4-Wheelers,Mahindra & Mahindra,611
01-Apr-22,4-Wheelers,BYD India,15
01-Apr-22,4-Wheelers,Hyundai Motor,17
01-Apr-22,4-Wheelers,BMW India,12
01-Apr-22,4-Wheelers,Mercedes -Benz AG,8
