date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Apr-21,Sikkim,2-Wheelers,0,398
01-Apr-21,Sikkim,4-Wheelers,0,361
01-May-21,Sikkim,2-Wheelers,0,113
01-May-21,Sikkim,4-Wheelers,0,98
01-Jun-21,Sikkim,2-Wheelers,0,229
01-Jun-21,Sikkim,4-Wheelers,0,244
01-Jul-21,Sikkim,2-Wheelers,0,458
01-Jul-21,Sikkim,4-Wheelers,0,452
01-Aug-21,Sikkim,2-Wheelers,0,489
01-Aug-21,Sikkim,4-Wheelers,0,408
01-Sep-21,Sikkim,2-Wheelers,0,540
01-Sep-21,Sikkim,4-Wheelers,0,355
01-Oct-21,Sikkim,2-Wheelers,0,455
01-Oct-21,Sikkim,4-Wheelers,0,345
01-Nov-21,Sikkim,2-Wheelers,0,478
01-Nov-21,Sikkim,4-Wheelers,0,351
01-Dec-21,Sikkim,2-Wheelers,0,454
01-Dec-21,Sikkim,4-Wheelers,0,394
01-Jan-22,Sikkim,2-Wheelers,0,400
01-Jan-22,Sikkim,4-Wheelers,0,270
01-Feb-22,Sikkim,2-Wheelers,0,384
01-Feb-22,Sikkim,4-Wheelers,0,371
01-Mar-22,Sikkim,2-Wheelers,0,460
01-Mar-22,Sikkim,4-Wheelers,0,390
01-Apr-22,Sikkim,2-Wheelers,0,455
01-Apr-22,Sikkim,4-Wheelers,0,380
01-May-22,Sikkim,2-Wheelers,0,461
01-May-22,Sikkim,4-Wheelers,0,421
01-Jun-22,Sikkim,2-Wheelers,0,429
01-Jun-22,Sikkim,4-Wheelers,0,446
01-Jul-22,Sikkim,2-Wheelers,0,409
01-Jul-22,Sikkim,4-Wheelers,0,439
01-Aug-22,Sikkim,2-Wheelers,0,394
01-Aug-22,Sikkim,4-Wheelers,0,421
01-Sep-22,Sikkim,2-Wheelers,0,443
01-Sep-22,Sikkim,4-Wheelers,0,581
01-Oct-22,Sikkim,2-Wheelers,0,371
01-Oct-22,Sikkim,4-Wheelers,0,340
01-Nov-22,Sikkim,2-Wheelers,0,431
01-Nov-22,Sikkim,4-Wheelers,0,411
01-Dec-22,Sikkim,2-Wheelers,0,274
01-Dec-22,Sikkim,4-Wheelers,0,288
01-Jan-23,Sikkim,2-Wheelers,0,470
01-Jan-23,Sikkim,4-Wheelers,0,420
01-Feb-23,Sikkim,2-Wheelers,0,324
01-Feb-23,Sikkim,4-Wheelers,0,364
01-Mar-23,Sikkim,2-Wheelers,0,454
01-Mar-23,Sikkim,4-Wheelers,0,505
01-Apr-23,Sikkim,2-Wheelers,0,465
01-Apr-23,Sikkim,4-Wheelers,0,439
01-May-23,Sikkim,2-Wheelers,0,507
01-May-23,Sikkim,4-Wheelers,0,448
01-Jun-23,Sikkim,2-Wheelers,0,517
01-Jun-23,Sikkim,4-Wheelers,0,457
01-Jul-23,Sikkim,2-Wheelers,0,423
01-Jul-23,Sikkim,4-Wheelers,0,371
01-Aug-23,Sikkim,2-Wheelers,0,465
01-Aug-23,Sikkim,4-Wheelers,0,460
01-Sep-23,Sikkim,2-Wheelers,0,546
01-Sep-23,Sikkim,4-Wheelers,0,509
01-Oct-23,Sikkim,2-Wheelers,0,398
01-Oct-23,Sikkim,4-Wheelers,0,389
01-Nov-23,Sikkim,2-Wheelers,0,470
01-Nov-23,Sikkim,4-Wheelers,0,403
01-Dec-23,Sikkim,2-Wheelers,0,365
01-Dec-23,Sikkim,4-Wheelers,0,318
01-Jan-24,Sikkim,2-Wheelers,0,509
01-Jan-24,Sikkim,4-Wheelers,0,422
01-Feb-24,Sikkim,2-Wheelers,0,408
01-Feb-24,Sikkim,4-Wheelers,0,375
01-Mar-24,Sikkim,2-Wheelers,0,399
01-Mar-24,Sikkim,4-Wheelers,0,455
01-Apr-21,Andaman & Nicobar Island,2-Wheelers,0,515
01-Apr-21,Arunachal Pradesh,2-Wheelers,0,1256
01-Apr-21,Arunachal Pradesh,4-Wheelers,0,724
01-Apr-21,Assam,4-Wheelers,0,6576
01-Apr-21,Chhattisgarh,4-Wheelers,0,1563
01-Apr-21,DNH and DD,4-Wheelers,0,278
01-Apr-21,Jammu and Kashmir,4-Wheelers,0,5107
01-Apr-21,Ladakh,2-Wheelers,0,2
01-Apr-21,Ladakh,4-Wheelers,0,20
01-Apr-21,Manipur,4-Wheelers,0,808
01-Apr-21,Meghalaya,2-Wheelers,0,1189
01-Apr-21,Mizoram,2-Wheelers,0,1507
01-Apr-21,Mizoram,4-Wheelers,0,281
01-Apr-21,Nagaland,2-Wheelers,0,561
01-Apr-21,Nagaland,4-Wheelers,0,747
01-Apr-21,Puducherry,4-Wheelers,0,655
01-Apr-21,Tripura,2-Wheelers,0,2906
01-Apr-21,Tripura,4-Wheelers,0,289
01-May-21,Andaman & Nicobar Island,2-Wheelers,0,4
01-May-21,Andaman & Nicobar Island,4-Wheelers,0,1
01-May-21,Arunachal Pradesh,2-Wheelers,0,552
01-May-21,Arunachal Pradesh,4-Wheelers,0,302
01-May-21,Assam,2-Wheelers,0,14723
01-May-21,Assam,4-Wheelers,0,3295
01-May-21,Bihar,4-Wheelers,0,2249
01-May-21,Chandigarh,2-Wheelers,0,411
01-May-21,Chhattisgarh,4-Wheelers,0,1387
01-May-21,DNH and DD,2-Wheelers,0,452
01-May-21,DNH and DD,4-Wheelers,0,202
01-May-21,Delhi,2-Wheelers,0,22
01-May-21,Delhi,4-Wheelers,0,21
01-May-21,Jammu and Kashmir,4-Wheelers,0,2372
01-May-21,Ladakh,2-Wheelers,0,11
01-May-21,Ladakh,4-Wheelers,0,70
01-May-21,Madhya Pradesh,4-Wheelers,0,195
01-May-21,Manipur,2-Wheelers,0,288
01-May-21,Manipur,4-Wheelers,0,9
01-May-21,Meghalaya,2-Wheelers,0,332
01-May-21,Mizoram,2-Wheelers,0,15
01-May-21,Mizoram,4-Wheelers,0,4
01-May-21,Nagaland,2-Wheelers,0,125
01-May-21,Nagaland,4-Wheelers,0,126
01-May-21,Odisha,4-Wheelers,0,722
01-May-21,Punjab,4-Wheelers,0,5202
01-May-21,Tripura,2-Wheelers,0,2063
01-May-21,Tripura,4-Wheelers,0,192
01-May-21,Uttarakhand,4-Wheelers,0,1145
01-Jun-21,Andaman & Nicobar Island,2-Wheelers,0,2
01-Jun-21,Arunachal Pradesh,2-Wheelers,0,727
01-Jun-21,Arunachal Pradesh,4-Wheelers,0,565
01-Jun-21,Ladakh,2-Wheelers,0,3
01-Jun-21,Ladakh,4-Wheelers,0,112
01-Jun-21,Manipur,2-Wheelers,0,89
01-Jun-21,Manipur,4-Wheelers,0,18
01-Jun-21,Meghalaya,2-Wheelers,0,354
01-Jun-21,Meghalaya,4-Wheelers,0,246
01-Jun-21,Mizoram,2-Wheelers,0,648
01-Jun-21,Mizoram,4-Wheelers,0,298
01-Jun-21,Nagaland,2-Wheelers,0,42
01-Jun-21,Nagaland,4-Wheelers,0,54
01-Jun-21,Puducherry,4-Wheelers,0,445
01-Jun-21,Tripura,4-Wheelers,0,185
01-Jul-21,Andaman & Nicobar Island,2-Wheelers,0,467
01-Jul-21,Arunachal Pradesh,2-Wheelers,0,994
01-Jul-21,Arunachal Pradesh,4-Wheelers,0,661
01-Jul-21,Assam,4-Wheelers,0,4988
01-Jul-21,DNH and DD,4-Wheelers,0,276
01-Jul-21,Ladakh,2-Wheelers,0,51
01-Jul-21,Ladakh,4-Wheelers,0,552
01-Jul-21,Manipur,2-Wheelers,0,474
01-Jul-21,Manipur,4-Wheelers,0,68
01-Jul-21,Meghalaya,2-Wheelers,0,726
01-Jul-21,Mizoram,2-Wheelers,0,1096
01-Jul-21,Mizoram,4-Wheelers,0,219
01-Jul-21,Nagaland,2-Wheelers,0,583
01-Jul-21,Nagaland,4-Wheelers,0,1039
01-Jul-21,Puducherry,4-Wheelers,0,866
01-Jul-21,Tripura,2-Wheelers,0,2211
01-Jul-21,Tripura,4-Wheelers,0,352
01-Aug-21,Andaman & Nicobar Island,2-Wheelers,0,406
01-Aug-21,Arunachal Pradesh,2-Wheelers,0,1126
01-Aug-21,Arunachal Pradesh,4-Wheelers,0,758
01-Aug-21,DNH and DD,4-Wheelers,0,321
01-Aug-21,Himachal Pradesh,4-Wheelers,0,3641
01-Aug-21,Jammu and Kashmir,4-Wheelers,0,5430
01-Aug-21,Ladakh,2-Wheelers,0,30
01-Aug-21,Ladakh,4-Wheelers,0,459
01-Aug-21,Manipur,2-Wheelers,0,1016
01-Aug-21,Manipur,4-Wheelers,0,561
01-Aug-21,Meghalaya,2-Wheelers,0,1041
01-Aug-21,Meghalaya,4-Wheelers,0,826
01-Aug-21,Mizoram,2-Wheelers,0,1057
01-Aug-21,Mizoram,4-Wheelers,0,240
01-Aug-21,Nagaland,2-Wheelers,0,577
01-Aug-21,Nagaland,4-Wheelers,0,763
01-Aug-21,Tripura,2-Wheelers,0,2462
